Latitude,Longitude,avg_RSRP,avg_SINR,gap_score,n_events
21.160201,81.799238,-87.0,4.0,0.9974463023690388,1
18.013694,83.273459,-104.0,0.0,0.9929772785749056,1
18.063407,83.342659,-99.0,0.0,0.9908605441410049,1
21.166176,81.798622,-92.0,1.0,0.9892652851293386,1
21.22052,81.7372725,-105.0,-2.0,0.9878693507341175,2
18.083868,83.375068,-101.0,0.0,0.9794923292627302,1
18.052932,83.317362,-84.0,1.0,0.9778542325824405,1
17.731203,83.27727,-86.0,9.0,0.9725841135100561,1
19.26051,83.403536,-94.0,10.0,0.9694664314272881,1
21.268103,81.642182,-108.0,-9.0,0.9668396763039635,2
21.267202,81.636216,-95.0,2.0,0.9659215308267595,1
18.072313,83.3567205,-111.5,-8.0,0.9636596160963785,2
21.106058,82.099433,-102.5,17.5,0.9617814837957538,2
19.272637500000002,83.406092,-104.5,0.5,0.9574892018785093,2
17.75561,83.353155,-91.0,1.0,0.9545351779783346,1
21.129838,81.766149,-109.0,-3.0,0.9494775206007104,1
18.078261,83.366093,-84.0,11.0,0.9385822246929325,1
18.475981,83.351738,-93.0,-2.0,0.934062944159527,1
21.093758,82.113383,-103.0,-5.0,0.9268917030514079,1
18.057741749999998,83.33138174999999,-105.25,-4.75,0.9145119623365403,4
19.324226,83.41135,-94.8,2.2,0.9050396238920818,5
17.980589,83.23498866666667,-113.66666666666667,-0.3333333333333333,0.8982285784060428,3
18.008256,83.26617,-113.0,3.0,0.8830938966846387,1
21.21215516666667,81.74672616666668,-107.5,1.0,0.8818448764471457,6
21.2365394,81.71746900000001,-101.0,-2.6,0.8750146642222049,5
21.113280600000003,82.100386,-112.8,-6.8,0.8725968126430587,5
17.98244766666667,83.23693166666668,-113.33333333333333,-1.3333333333333333,0.8700680601983352,3
21.250842375,81.6405895,-86.5,-0.25,0.8680045206495431,8
18.093423666666666,83.387305,-100.5,2.5,0.8632016113558105,6
21.237462125,81.714180125,-92.5,-1.5,0.8491944650147344,8
17.724889833333332,83.28864649999998,-96.16666666666667,-0.16666666666666666,0.8418395273541224,6
21.185179,81.96617200000001,-97.83333333333333,-3.5,0.8412690045868736,6
21.21075525,81.74860425,-106.75,6.0,0.8408381187651195,4
17.7236429,83.2899985,-85.5,2.5,0.8395452284577033,10
21.244553208333333,81.641801625,-82.20833333333333,1.25,0.8373651528507692,24
18.042793999999997,83.30112675000001,-103.75,-2.0,0.8314431766265611,4
19.321142999999996,83.409698,-100.33333333333333,0.8333333333333334,0.8235236030852443,6
21.26386385714286,81.65905928571429,-98.42857142857143,-3.5714285714285716,0.8205692603759811,7
21.124682749999998,81.78961275000002,-93.58333333333333,0.3333333333333333,0.8154392573869811,12
19.2473635,83.402383375,-105.625,3.125,0.8111128285250244,8
21.15812922222222,81.79263277777778,-101.88888888888889,1.6666666666666667,0.8057513272142198,9
21.255081,81.6380556,-83.6,2.8,0.7990854406881386,5
19.249446714285714,83.40221499999998,-102.14285714285714,6.285714285714286,0.797733015820738,7
18.10010266666667,83.391191,-85.83333333333333,2.0,0.7945853793842272,6
21.238166500000002,81.708052,-79.66666666666667,-1.5,0.7937340765940073,6
21.154963333333335,81.79499155555555,-109.11111111111111,-2.7777777777777777,0.7927158869229392,9
21.115991428571427,82.10502342857144,-104.57142857142857,-3.2857142857142856,0.7895223020262865,7
21.174231666666667,81.77549216666667,-105.33333333333333,-3.9166666666666665,0.7874872676294754,12
21.24367844444445,81.64840677777778,-82.33333333333333,0.1111111111111111,0.7864952397401059,9
21.181508333333333,81.77816633333332,-104.6,-2.466666666666667,0.785523197765916,15
21.2664804,81.65126640000001,-99.6,-6.8,0.7806696201739276,5
21.187476294117644,81.7732194117647,-107.11764705882354,-1.2352941176470589,0.7792574567422663,17
21.260226875,81.63110162500001,-80.875,2.125,0.7749836079913413,8
21.256620921568622,81.62969598039216,-97.23529411764706,-0.8823529411764706,0.7719033895662536,51
21.111647000000005,82.10676418181819,-105.36363636363636,-4.0,0.768103951580407,11
20.813495,82.558586,-97.0,6.0,0.7666690979401196,1
18.10796525,83.39489599999999,-96.5625,-1.625,0.7666032295594929,16
21.2416722,81.6565576,-86.8,-5.4,0.7651447586078578,5
21.124658600000004,81.77097,-87.6,8.8,0.7635337311359324,5
21.160309875,81.786765375,-100.875,1.5,0.7612174020593657,8
21.121589999999998,81.78031883333334,-84.5,-0.5,0.7611137706097525,6
21.119805142857142,81.78792357142856,-93.57142857142857,-2.142857142857143,0.7572975485446308,7
21.2388095,81.68317125,-88.25,0.25,0.7538138026144808,4
21.242866333333335,81.65189500000001,-85.55555555555556,-3.4444444444444446,0.7486274558792068,9
18.01944175,83.28199675,-108.5,-4.0,0.7484685036964182,4
18.104406333333333,83.39353858333332,-88.83333333333333,1.9166666666666667,0.7423034741521892,12
21.237156,81.693323,-94.0,-1.75,0.7412995874353868,4
21.197822714285714,81.77096628571428,-102.21428571428571,-2.642857142857143,0.7376549560253558,14
17.747984333333335,83.34927066666665,-100.66666666666667,0.5,0.7285373839208505,6
21.238794714285717,81.67508299999999,-90.14285714285714,-4.285714285714286,0.728318082941474,7
19.287163,83.4085585,-85.0,4.0,0.7282101674778257,2
21.138473857142856,81.78004185714288,-84.57142857142857,2.4285714285714284,0.7263510213352086,7
19.345695125,83.42504249999999,-95.0,4.25,0.7229131289089401,8
21.239092727272727,81.66803954545453,-83.0909090909091,0.45454545454545453,0.7217887336769538,11
21.200249000000003,81.76547653846154,-105.92307692307692,-4.153846153846154,0.7211276434053702,13
21.16765666666667,81.78923033333334,-85.33333333333333,6.0,0.720047630758489,3
21.184641173913043,81.77756052173915,-103.56521739130434,-1.565217391304348,0.7169206663504871,23
17.740148,83.2364825,-101.0,1.0,0.7165715082930022,2
21.152354230769234,81.78297230769229,-101.84615384615384,1.1538461538461537,0.7158146555413527,13
18.0904265,83.38495825,-103.5,1.0,0.7147574927327778,4
21.146233000000002,81.78132289999999,-92.1,0.5,0.7084054111571262,10
17.727027,83.33920183333333,-92.33333333333333,2.5,0.7081180620209618,6
21.1292565,81.78192849999999,-87.0,5.0,0.7068755456820253,2
21.194788090909093,81.77330363636364,-103.18181818181819,-0.9090909090909091,0.7062332994581358,11
21.133261666666666,81.77891699999999,-87.83333333333333,4.333333333333333,0.7058569811733149,6
21.16929269565217,81.77371760869565,-103.69565217391305,-3.1739130434782608,0.7057257463527641,23
19.337574500000002,83.4222685,-89.5,11.0,0.7045910622447846,2
21.2377958,81.6879004,-92.6,-1.2,0.7024767529906297,5
18.075218,83.3613075,-102.0,-1.0,0.6981012082654459,2
21.238764000000003,81.67172923076924,-88.53846153846153,-2.3846153846153846,0.693655760591178,13
18.04397875,83.30198925,-102.0,-0.25,0.6919079315318898,4
21.128142,82.104878,-117.0,-8.0,0.6900317358606175,2
17.73324141666666,83.34087133333333,-84.25,0.9166666666666666,0.684402982841803,12
21.111504333333333,82.11043466666666,-105.66666666666667,-3.6666666666666665,0.6843147707295435,3
21.1631052,81.7787534,-103.0,-0.2,0.6820852277901915,5
17.742247888888887,83.34395388888889,-93.44444444444444,0.4444444444444444,0.6791734342863949,9
21.237686,81.7012724,-85.2,-1.6,0.6769582138414956,5
21.155843363636365,81.78433709090908,-105.27272727272727,1.2727272727272727,0.6765716512967599,11
21.166984421052636,81.77387073684208,-103.10526315789474,-2.1578947368421053,0.6697676517759027,19
17.745252,83.220617,-98.5,1.0,0.6661613688321542,2
21.202121444444444,81.76215666666668,-105.66666666666667,-3.888888888888889,0.6650525507324279,9
17.740317166666667,83.34310574999999,-90.16666666666667,2.0833333333333335,0.6617442114892359,12
21.178325,81.999666,-98.33333333333333,0.0,0.6252320993186853,3
18.01754975,83.27918924999999,-107.0,-1.0,0.6153590187105604,4
19.366712,83.427297,-100.0,3.0,0.5019651486827242,1
